Bnccindx,Calculation1,Category,Date
52.5414,Economic Mood Index,British Columbia,6/30/2008
54.2798,Economic Mood Index,British Columbia,9/30/2008
43.7436,Economic Mood Index,British Columbia,12/31/2008
40.9199,Economic Mood Index,British Columbia,3/31/2009
52.661,Economic Mood Index,British Columbia,6/30/2009
60.0542,Economic Mood Index,British Columbia,9/30/2009
62.289,Economic Mood Index,British Columbia,12/31/2009
62.3339,Economic Mood Index,British Columbia,3/31/2010
59.323,Economic Mood Index,British Columbia,6/30/2010
56.0791,Economic Mood Index,British Columbia,9/30/2010
57.3521,Economic Mood Index,British Columbia,12/31/2010
61.7456,Economic Mood Index,British Columbia,3/31/2011
58.4457,Economic Mood Index,British Columbia,6/30/2011
52.9857,Economic Mood Index,British Columbia,9/30/2011
53.9216,Economic Mood Index,British Columbia,12/31/2011
55.7326,Economic Mood Index,British Columbia,2/28/2012
53.1388,Economic Mood Index,British Columbia,3/31/2012
53.9599,Economic Mood Index,British Columbia,4/30/2012
50.2078,Economic Mood Index,British Columbia,5/31/2012
49.8156,Economic Mood Index,British Columbia,6/30/2012
52.0817,Economic Mood Index,British Columbia,7/31/2012
50.6677,Economic Mood Index,British Columbia,8/31/2012
50.06,Economic Mood Index,British Columbia,9/30/2012
50.4282,Economic Mood Index,British Columbia,10/31/2012
50.729,Economic Mood Index,British Columbia,11/30/2012
49.3705,Economic Mood Index,British Columbia,12/31/2012
49.138,Economic Mood Index,British Columbia,1/31/2013
49.6485,Economic Mood Index,British Columbia,2/28/2013
47.3705,Economic Mood Index,British Columbia,3/31/2013
45.8602,Economic Mood Index,British Columbia,4/30/2013
55.4469,Economic Mood Index,British Columbia,5/24/2013
57.2418,Economic Mood Index,British Columbia,5/31/2013
57.6224,Economic Mood Index,British Columbia,6/7/2013
55.8789,Economic Mood Index,British Columbia,6/14/2013
56.2868,Economic Mood Index,British Columbia,6/21/2013
54.0479,Economic Mood Index,British Columbia,6/28/2013
58.6213,Economic Mood Index,British Columbia,7/5/2013
57.7934,Economic Mood Index,British Columbia,7/12/2013
