Agency,Country,Percent Change YOY Country,City (copy),City,Date,Percent Change YOY
Brampton Transit,Canada,1,Toronto,Toronto,2/17/2020,8
Brampton Transit,Canada,6,Toronto,Toronto,2/18/2020,-36
Brampton Transit,Canada,-21,Toronto,Toronto,2/19/2020,20
Brampton Transit,Canada,3,Toronto,Toronto,2/20/2020,1
Brampton Transit,Canada,1,Toronto,Toronto,2/21/2020,-6
Brampton Transit,Canada,-8,Toronto,Toronto,2/22/2020,-4
Brampton Transit,Canada,-5,Toronto,Toronto,2/23/2020,7
Brampton Transit,Canada,3,Toronto,Toronto,2/24/2020,13
Brampton Transit,Canada,4,Toronto,Toronto,2/25/2020,19
Brampton Transit,Canada,12,Toronto,Toronto,2/26/2020,-3
Brampton Transit,Canada,1,Toronto,Toronto,2/27/2020,-7
Brampton Transit,Canada,-5,Toronto,Toronto,2/28/2020,-13
Brampton Transit,Canada,-1,Toronto,Toronto,2/29/2020,-10
Brampton Transit,Canada,1,Toronto,Toronto,3/1/2020,-4
Brampton Transit,Canada,5,Toronto,Toronto,3/2/2020,3
Brampton Transit,Canada,-1,Toronto,Toronto,3/3/2020,3
Brampton Transit,Canada,-1,Toronto,Toronto,3/4/2020,3
Brampton Transit,Canada,-3,Toronto,Toronto,3/5/2020,-3
Brampton Transit,Canada,-4,Toronto,Toronto,3/6/2020,-5
Brampton Transit,Canada,-2,Toronto,Toronto,3/7/2020,-1
Brampton Transit,Canada,-3,Toronto,Toronto,3/8/2020,-1
Brampton Transit,Canada,-2,Toronto,Toronto,3/9/2020,-5
Brampton Transit,Canada,-5,Toronto,Toronto,3/10/2020,-9
Brampton Transit,Canada,-6,Toronto,Toronto,3/11/2020,-9
Brampton Transit,Canada,-10,Toronto,Toronto,3/12/2020,-12
Brampton Transit,Canada,-24,Toronto,Toronto,3/13/2020,-22
Brampton Transit,Canada,-31,Toronto,Toronto,3/14/2020,-28
Brampton Transit,Canada,-31,Toronto,Toronto,3/15/2020,-28
Brampton Transit,Canada,-50,Toronto,Toronto,3/16/2020,-48
Brampton Transit,Canada,-60,Toronto,Toronto,3/17/2020,-57
Brampton Transit,Canada,-66,Toronto,Toronto,3/18/2020,-60
Brampton Transit,Canada,-69,Toronto,Toronto,3/19/2020,-63
Brampton Transit,Canada,-71,Toronto,Toronto,3/20/2020,-64
Brampton Transit,Canada,-68,Toronto,Toronto,3/21/2020,-60
Brampton Transit,Canada,-68,Toronto,Toronto,3/22/2020,-57
Brampton Transit,Canada,-74,Toronto,Toronto,3/23/2020,-63
Brampton Transit,Canada,-76,Toronto,Toronto,3/24/2020,-65
Brampton Transit,Canada,-80,Toronto,Toronto,3/25/2020,-74
Brampton Transit,Canada,-81,Toronto,Toronto,3/26/2020,-75
Brampton Transit,Canada,-82,Toronto,Toronto,3/27/2020,-76
Brampton Transit,Canada,-78,Toronto,Toronto,3/28/2020,-74
Brampton Transit,Canada,-76,Toronto,Toronto,3/29/2020,-72
Brampton Transit,Canada,-79,Toronto,Toronto,3/30/2020,-74
Brampton Transit,Canada,-81,Toronto,Toronto,3/31/2020,-77
Brampton Transit,Canada,-81,Toronto,Toronto,4/1/2020,-75
Brampton Transit,Canada,-81,Toronto,Toronto,4/2/2020,-76
Brampton Transit,Canada,-82,Toronto,Toronto,4/3/2020,-77
Brampton Transit,Canada,-79,Toronto,Toronto,4/4/2020,-74
Brampton Transit,Canada,-78,Toronto,Toronto,4/5/2020,-70
Brampton Transit,Canada,-80,Toronto,Toronto,4/6/2020,-75
Brampton Transit,Canada,-82,Toronto,Toronto,4/7/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/8/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/9/2020,-78
Brampton Transit,Canada,-83,Toronto,Toronto,4/10/2020,-84
Brampton Transit,Canada,-80,Toronto,Toronto,4/11/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,4/12/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,4/13/2020,-74
Brampton Transit,Canada,-82,Toronto,Toronto,4/14/2020,-77
