Bnccpbk,Calculation1,Category,Date
60.0091,Pocketbook Index,British Columbia,6/30/2008
58.3882,Pocketbook Index,British Columbia,9/30/2008
57.5659,Pocketbook Index,British Columbia,12/31/2008
49.3124,Pocketbook Index,British Columbia,3/31/2009
55.0762,Pocketbook Index,British Columbia,6/30/2009
56.3508,Pocketbook Index,British Columbia,9/30/2009
55.1332,Pocketbook Index,British Columbia,12/31/2009
56.3107,Pocketbook Index,British Columbia,3/31/2010
54.5252,Pocketbook Index,British Columbia,6/30/2010
55.7167,Pocketbook Index,British Columbia,9/30/2010
57.3023,Pocketbook Index,British Columbia,12/31/2010
63.8258,Pocketbook Index,British Columbia,3/31/2011
59.7263,Pocketbook Index,British Columbia,6/30/2011
60.9576,Pocketbook Index,British Columbia,9/30/2011
56.9322,Pocketbook Index,British Columbia,12/31/2011
53.846,Pocketbook Index,British Columbia,2/28/2012
51.9827,Pocketbook Index,British Columbia,3/31/2012
49.8756,Pocketbook Index,British Columbia,4/30/2012
51.426,Pocketbook Index,British Columbia,5/31/2012
50.5083,Pocketbook Index,British Columbia,6/30/2012
54.3944,Pocketbook Index,British Columbia,7/31/2012
52.1458,Pocketbook Index,British Columbia,8/31/2012
49.8113,Pocketbook Index,British Columbia,9/30/2012
51.684,Pocketbook Index,British Columbia,10/31/2012
48.3302,Pocketbook Index,British Columbia,11/30/2012
48.915,Pocketbook Index,British Columbia,12/31/2012
48.6161,Pocketbook Index,British Columbia,1/31/2013
48.2605,Pocketbook Index,British Columbia,2/28/2013
49.6449,Pocketbook Index,British Columbia,3/31/2013
50.719,Pocketbook Index,British Columbia,4/30/2013
51.8314,Pocketbook Index,British Columbia,5/24/2013
54.9462,Pocketbook Index,British Columbia,5/31/2013
56.7022,Pocketbook Index,British Columbia,6/7/2013
54.6578,Pocketbook Index,British Columbia,6/14/2013
56.3862,Pocketbook Index,British Columbia,6/21/2013
53.2692,Pocketbook Index,British Columbia,6/28/2013
55.1757,Pocketbook Index,British Columbia,7/5/2013
60.5543,Pocketbook Index,British Columbia,7/12/2013
60.9368,Pocketbook Index,British Columbia,7/19/2013
60.2983,Pocketbook Index,British Columbia,7/26/2013
60.5687,Pocketbook Index,British Columbia,8/2/2013
59.2142,Pocketbook Index,British Columbia,8/9/2013
58.3946,Pocketbook Index,British Columbia,8/16/2013
58.38,Pocketbook Index,British Columbia,8/23/2013
57.6338,Pocketbook Index,British Columbia,8/30/2013
58.1112,Pocketbook Index,British Columbia,9/6/2013
60.5022,Pocketbook Index,British Columbia,9/13/2013
59.5502,Pocketbook Index,British Columbia,9/20/2013
60.0201,Pocketbook Index,British Columbia,9/27/2013
61.0005,Pocketbook Index,British Columbia,10/4/2013
60.0522,Pocketbook Index,British Columbia,10/11/2013
60.8102,Pocketbook Index,British Columbia,10/18/2013
57.7056,Pocketbook Index,British Columbia,10/25/2013
56.7619,Pocketbook Index,British Columbia,11/1/2013
55.4862,Pocketbook Index,British Columbia,11/8/2013
55.134,Pocketbook Index,British Columbia,11/15/2013
59.7265,Pocketbook Index,British Columbia,11/22/2013
60.6102,Pocketbook Index,British Columbia,11/29/2013
61.2557,Pocketbook Index,British Columbia,12/6/2013
60.6543,Pocketbook Index,British Columbia,12/13/2013
57.8167,Pocketbook Index,British Columbia,12/20/2013
56.2702,Pocketbook Index,British Columbia,12/27/2013
53.7236,Pocketbook Index,British Columbia,1/3/2014
52.7248,Pocketbook Index,British Columbia,1/10/2014
52.7924,Pocketbook Index,British Columbia,1/17/2014
56.2005,Pocketbook Index,British Columbia,1/24/2014
58.6309,Pocketbook Index,British Columbia,1/31/2014
58.5883,Pocketbook Index,British Columbia,2/7/2014
59.2844,Pocketbook Index,British Columbia,2/14/2014
58.1807,Pocketbook Index,British Columbia,2/21/2014
60.1765,Pocketbook Index,British Columbia,2/28/2014
62.2479,Pocketbook Index,British Columbia,3/7/2014
62.2643,Pocketbook Index,British Columbia,3/14/2014
59.8211,Pocketbook Index,British Columbia,3/21/2014
58.9458,Pocketbook Index,British Columbia,3/28/2014
59.3315,Pocketbook Index,British Columbia,4/4/2014
58.9886,Pocketbook Index,British Columbia,4/11/2014
59.9364,Pocketbook Index,British Columbia,4/18/2014
60.4241,Pocketbook Index,British Columbia,4/25/2014
57.9684,Pocketbook Index,British Columbia,5/2/2014
59.9668,Pocketbook Index,British Columbia,5/9/2014
60.7152,Pocketbook Index,British Columbia,5/16/2014
60.0332,Pocketbook Index,British Columbia,5/23/2014
62.0969,Pocketbook Index,British Columbia,5/30/2014
60.8126,Pocketbook Index,British Columbia,6/6/2014
59.6449,Pocketbook Index,British Columbia,6/13/2014
57.5949,Pocketbook Index,British Columbia,6/20/2014
59.007,Pocketbook Index,British Columbia,6/27/2014
57.2523,Pocketbook Index,British Columbia,7/4/2014
56.3417,Pocketbook Index,British Columbia,7/11/2014
56.35,Pocketbook Index,British Columbia,7/18/2014
54.7549,Pocketbook Index,British Columbia,7/25/2014
56.6423,Pocketbook Index,British Columbia,8/1/2014
56.3443,Pocketbook Index,British Columbia,8/8/2014
57.4185,Pocketbook Index,British Columbia,8/15/2014
58.5182,Pocketbook Index,British Columbia,8/22/2014
56.7839,Pocketbook Index,British Columbia,8/29/2014
59.7738,Pocketbook Index,British Columbia,9/5/2014
58.9433,Pocketbook Index,British Columbia,9/12/2014
59.0937,Pocketbook Index,British Columbia,9/19/2014
61.6297,Pocketbook Index,British Columbia,9/26/2014
61.3009,Pocketbook Index,British Columbia,10/3/2014
63.0329,Pocketbook Index,British Columbia,10/10/2014
62.7439,Pocketbook Index,British Columbia,10/17/2014
61.599,Pocketbook Index,British Columbia,10/24/2014
60.2752,Pocketbook Index,British Columbia,10/31/2014
59.1703,Pocketbook Index,British Columbia,11/7/2014
60.4772,Pocketbook Index,British Columbia,11/14/2014
60.4417,Pocketbook Index,British Columbia,11/21/2014
62.3371,Pocketbook Index,British Columbia,11/28/2014
62.7776,Pocketbook Index,British Columbia,12/5/2014
61.0938,Pocketbook Index,British Columbia,12/12/2014
62.3813,Pocketbook Index,British Columbia,12/19/2014
61.0597,Pocketbook Index,British Columbia,12/26/2014
60.4309,Pocketbook Index,British Columbia,1/2/2015
61.2425,Pocketbook Index,British Columbia,1/9/2015
61.3013,Pocketbook Index,British Columbia,1/16/2015
61.7362,Pocketbook Index,British Columbia,1/23/2015
63.5195,Pocketbook Index,British Columbia,1/30/2015
63.7082,Pocketbook Index,British Columbia,2/6/2015
63.3541,Pocketbook Index,British Columbia,2/13/2015
61.1556,Pocketbook Index,British Columbia,2/20/2015
58.9928,Pocketbook Index,British Columbia,2/27/2015
59.6171,Pocketbook Index,British Columbia,3/6/2015
58.3571,Pocketbook Index,British Columbia,3/13/2015
61.0804,Pocketbook Index,British Columbia,3/20/2015
62.068,Pocketbook Index,British Columbia,3/27/2015
60.2551,Pocketbook Index,British Columbia,4/3/2015
61.267,Pocketbook Index,British Columbia,4/10/2015
60.6816,Pocketbook Index,British Columbia,4/17/2015
58.6648,Pocketbook Index,British Columbia,4/24/2015
59.9,Pocketbook Index,British Columbia,5/1/2015
59.1999,Pocketbook Index,British Columbia,5/8/2015
60.9979,Pocketbook Index,British Columbia,5/15/2015
62.257,Pocketbook Index,British Columbia,5/22/2015
62.0816,Pocketbook Index,British Columbia,5/29/2015
60.3421,Pocketbook Index,British Columbia,6/5/2015
59.1083,Pocketbook Index,British Columbia,6/12/2015
58.9128,Pocketbook Index,British Columbia,6/19/2015
57.3716,Pocketbook Index,British Columbia,6/26/2015
59.2265,Pocketbook Index,British Columbia,7/3/2015
58.6543,Pocketbook Index,British Columbia,7/10/2015
58.4456,Pocketbook Index,British Columbia,7/17/2015
58.1797,Pocketbook Index,British Columbia,7/24/2015
57.5257,Pocketbook Index,British Columbia,7/31/2015
55.7676,Pocketbook Index,British Columbia,8/7/2015
57.7449,Pocketbook Index,British Columbia,8/14/2015
58.1889,Pocketbook Index,British Columbia,8/21/2015
58.6048,Pocketbook Index,British Columbia,8/28/2015
59.5818,Pocketbook Index,British Columbia,9/4/2015
58.023,Pocketbook Index,British Columbia,9/11/2015
59.0223,Pocketbook Index,British Columbia,9/18/2015
58.5512,Pocketbook Index,British Columbia,9/25/2015
58.1384,Pocketbook Index,British Columbia,10/2/2015
57.596,Pocketbook Index,British Columbia,10/9/2015
57.3927,Pocketbook Index,British Columbia,10/16/2015
57.4404,Pocketbook Index,British Columbia,10/23/2015
57.962,Pocketbook Index,British Columbia,10/30/2015
60.2623,Pocketbook Index,British Columbia,11/6/2015
61.5954,Pocketbook Index,British Columbia,11/13/2015
61.0117,Pocketbook Index,British Columbia,11/20/2015
61.6084,Pocketbook Index,British Columbia,11/27/2015
59.8384,Pocketbook Index,British Columbia,12/4/2015
60.9123,Pocketbook Index,British Columbia,12/11/2015
61.9502,Pocketbook Index,British Columbia,12/18/2015
61.8165,Pocketbook Index,British Columbia,12/25/2015
64.1655,Pocketbook Index,British Columbia,1/1/2016
63.6211,Pocketbook Index,British Columbia,1/8/2016
64.0715,Pocketbook Index,British Columbia,1/15/2016
62.6661,Pocketbook Index,British Columbia,1/22/2016
58.912,Pocketbook Index,British Columbia,1/29/2016
56.9795,Pocketbook Index,British Columbia,2/5/2016
52.9872,Pocketbook Index,British Columbia,2/12/2016
53.6508,Pocketbook Index,British Columbia,2/19/2016
53.4474,Pocketbook Index,British Columbia,2/26/2016
51.9,Pocketbook Index,British Columbia,3/4/2016
55.0306,Pocketbook Index,British Columbia,3/11/2016
55.7867,Pocketbook Index,British Columbia,3/18/2016
58.5238,Pocketbook Index,British Columbia,3/25/2016
58.3197,Pocketbook Index,British Columbia,4/1/2016
57.613,Pocketbook Index,British Columbia,4/8/2016
56.6432,Pocketbook Index,British Columbia,4/15/2016
57.2989,Pocketbook Index,British Columbia,4/22/2016
62.7573,Pocketbook Index,British Columbia,4/29/2016
64.1453,Pocketbook Index,British Columbia,5/6/2016
66.1018,Pocketbook Index,British Columbia,5/13/2016
64.7327,Pocketbook Index,British Columbia,5/20/2016
59.3206,Pocketbook Index,British Columbia,5/27/2016
60.2341,Pocketbook Index,British Columbia,6/3/2016
59.9083,Pocketbook Index,British Columbia,6/10/2016
61.0069,Pocketbook Index,British Columbia,6/17/2016
62.6228,Pocketbook Index,British Columbia,6/24/2016
59.9524,Pocketbook Index,British Columbia,6/30/2016
59.2641,Pocketbook Index,British Columbia,7/8/2016
59.6293,Pocketbook Index,British Columbia,7/15/2016
58.8093,Pocketbook Index,British Columbia,7/22/2016
61.314,Pocketbook Index,British Columbia,7/29/2016
60.0377,Pocketbook Index,British Columbia,8/5/2016
58.7259,Pocketbook Index,British Columbia,8/12/2016
60.3559,Pocketbook Index,British Columbia,8/19/2016
