City,Country,CountryPercentChangeYOY,Date,PercentChangeYOY
"Calgary","Canada",-5,18feb2020,0
"Calgary","Canada",0,19feb2020,4
"Calgary","Canada",-3,20feb2020,5
"Calgary","Canada",-2,21feb2020,0
"Calgary","Canada",-1,22feb2020,11
"Calgary","Canada",8,23feb2020,6
"Calgary","Canada",-2,24feb2020,-4
"Calgary","Canada",-3,25feb2020,1
"Calgary","Canada",1,26feb2020,-3
"Calgary","Canada",-12,27feb2020,-4
"Calgary","Canada",-8,28feb2020,3
"Calgary","Canada",-4,29feb2020,4
"Calgary","Canada",-7,01mar2020,-9
"Calgary","Canada",-12,02mar2020,-11
"Calgary","Canada",-7,03mar2020,-9
"Calgary","Canada",-2,04mar2020,-4
"Calgary","Canada",-4,05mar2020,-2
"Calgary","Canada",-8,06mar2020,2
"Calgary","Canada",-9,07mar2020,-10
"Calgary","Canada",-1,08mar2020,-4
"Calgary","Canada",-13,09mar2020,-11
"Calgary","Canada",-18,10mar2020,-8
"Calgary","Canada",-19,11mar2020,-7
"Calgary","Canada",-28,12mar2020,-27
"Calgary","Canada",-40,13mar2020,-48
"Calgary","Canada",-41,14mar2020,-51
"Calgary","Canada",-47,15mar2020,-54
"Calgary","Canada",-60,16mar2020,-73
"Calgary","Canada",-94,17mar2020,-96
"Calgary","Canada",-97,18mar2020,-99
"Calgary","Canada",-99.47,19mar2020,-99.28
"Calgary","Canada",-99.72,20mar2020,-99.39
"Calgary","Canada",-99.89,21mar2020,-99.7
"Calgary","Canada",-99.94,22mar2020,-100
"Calgary","Canada",-99.97,23mar2020,-100
"Calgary","Canada",-99.99,24mar2020,-99.91
"Calgary","Canada",-99.97,25mar2020,-99.97
"Calgary","Canada",-99.98,26mar2020,-100
"Calgary","Canada",-99.98,27mar2020,-99.95999999999999
"Calgary","Canada",-100,28mar2020,-100
"Calgary","Canada",-100,29mar2020,-100
"Calgary","Canada",-100,30mar2020,-100
"Calgary","Canada",-100,31mar2020,-100
"Calgary","Canada",-100,01apr2020,-100
"Calgary","Canada",-100,02apr2020,-100
"Calgary","Canada",-100,03apr2020,-100
"Calgary","Canada",-100,04apr2020,-100
"Calgary","Canada",-100,05apr2020,-100
"Calgary","Canada",-100,06apr2020,-100
"Calgary","Canada",-100,07apr2020,-100
"Calgary","Canada",-100,08apr2020,-100
"Calgary","Canada",-100,09apr2020,-100
"Calgary","Canada",-100,10apr2020,-100
"Calgary","Canada",-100,11apr2020,-100
"Calgary","Canada",-100,12apr2020,-100
"Calgary","Canada",-100,13apr2020,-100
"Calgary","Canada",-100,14apr2020,-100
"Calgary","Canada",-100,15apr2020,-100
"Calgary","Canada",-100,16apr2020,-100
"Calgary","Canada",-99.99,17apr2020,-100
"Calgary","Canada",-99.99,18apr2020,-100
"Calgary","Canada",-100,19apr2020,-100
"Calgary","Canada",-100,20apr2020,-100
"Calgary","Canada",-100,21apr2020,-100
"Calgary","Canada",-100,22apr2020,-100
"Calgary","Canada",-100,23apr2020,-100
"Calgary","Canada",-99.99,24apr2020,-100
"Calgary","Canada",-99.99,25apr2020,-100
"Calgary","Canada",-100,26apr2020,-100
"Calgary","Canada",-100,27apr2020,-100
"Calgary","Canada",-100,28apr2020,-100
"Calgary","Canada",-100,29apr2020,-100
"Calgary","Canada",-100,30apr2020,-100
"Calgary","Canada",-99.99,01may2020,-100
"Calgary","Canada",-100,02may2020,-100
"Calgary","Canada",-100,03may2020,-100
"Calgary","Canada",-100,04may2020,-100
"Calgary","Canada",-100,05may2020,-100
"Calgary","Canada",-100,06may2020,-100
"Calgary","Canada",-100,07may2020,-100
"Calgary","Canada",-100,08may2020,-100
"Calgary","Canada",-99.99,09may2020,-100
"Calgary","Canada",-100,10may2020,-100
"Calgary","Canada",-99.93000000000001,11may2020,-100
"Calgary","Canada",-99.94,12may2020,-100
"Calgary","Canada",-99.89,13may2020,-99.95
"Calgary","Canada",-99.2,14may2020,-99.84999999999999
"Calgary","Canada",-98.92,15may2020,-99.95999999999999
"Calgary","Canada",-98.56,16may2020,-99.94
"Calgary","Canada",-98.56,17may2020,-100
"Calgary","Canada",-98.13,18may2020,-100
"Calgary","Canada",-94.83,19may2020,-100
"Calgary","Canada",-94.39,20may2020,-100
"Calgary","Canada",-94.49,21may2020,-99.84999999999999
"Calgary","Canada",-94.56999999999999,22may2020,-100
"Calgary","Canada",-93.98,23may2020,-100
"Calgary","Canada",-92.87000000000001,24may2020,-100
"Calgary","Canada",-98.63,25may2020,-98.19
"Calgary","Canada",-88.86,26may2020,-83.52
"Calgary","Canada",-87.84999999999999,27may2020,-84.18000000000001
"Calgary","Canada",-89.14,28may2020,-81.79000000000001
"Calgary","Canada",-88.47,29may2020,-79.69
"Calgary","Canada",-89.51000000000001,30may2020,-79.90000000000001
"Calgary","Canada",-88.22,31may2020,-84.28
"Calgary","Canada",-83.14,01jun2020,-70.13
"Calgary","Canada",-85.33,02jun2020,-73.19
"Calgary","Canada",-84.39,03jun2020,-70.16
"Calgary","Canada",-84.95,04jun2020,-72.55
"Calgary","Canada",-83.61,05jun2020,-69.58
"Calgary","Canada",-82.93000000000001,06jun2020,-63.23
"Calgary","Canada",-81.22,07jun2020,-72.49
"Calgary","Canada",-83.81999999999999,08jun2020,-69.09999999999999
"Calgary","Canada",-82.87000000000001,09jun2020,-70.05
"Calgary","Canada",-80.59,10jun2020,-62.5
"Calgary","Canada",-80.16,11jun2020,-57.75
"Calgary","Canada",-77.78,12jun2020,-57.75
"Calgary","Canada",-77.43000000000001,13jun2020,-60.53
"Calgary","Canada",-84.76000000000001,14jun2020,-73.11
"Calgary","Canada",-79.09999999999999,15jun2020,-55.71
"Calgary","Canada",-75.12000000000001,16jun2020,-56.14
"Calgary","Canada",-74.23,17jun2020,-59.82
"Calgary","Canada",-73.43000000000001,18jun2020,-50.89
"Calgary","Canada",-69.73,19jun2020,-44.11
"Calgary","Canada",-68.87000000000001,20jun2020,-47.9
"Calgary","Canada",-55,21jun2020,-23.18
"Calgary","Canada",-66.29000000000001,22jun2020,-49.22
"Calgary","Canada",-70.59,23jun2020,-49.83
"Calgary","Canada",-68.28,24jun2020,-53.32
"Calgary","Canada",-65.73,25jun2020,-44.17
"Calgary","Canada",-57.62,26jun2020,-40.19
"Calgary","Canada",-57,27jun2020,-40.94
