"address_code","address","region","province","healthregion","lon","lat"
"Abitibi-Témiscamingue, Quebec","Abitibi-Témiscamingue, Quebec","Abitibi-Témiscamingue","Quebec","Abitibi-Témiscamingue, Quebec",-77.672777,47.7344268
"Alberta, Canada","Alberta, Canada","Not Reported","Alberta","Not Reported, Alberta",-116.5765035,53.9332706
"Algoma, Ontario","Algoma, Ontario","Algoma","Ontario","Algoma, Ontario",-84.7951524,47.6459165
"Bas-Saint-Laurent, Quebec","Bas-Saint-Laurent, Quebec","Bas-Saint-Laurent","Quebec","Bas-Saint-Laurent, Quebec",-69.5314484,47.828424
"Brant, Ontario","Brant, Ontario","Brant","Ontario","Brant, Ontario",-80.171591,43.152667
"British Columbia, Canada","British Columbia, Canada","Not Reported","British Columbia","Not Reported, British Columbia",-127.6476205,53.7266683
"Calgary, Alberta","Calgary, Alberta","Calgary","Alberta","Calgary, Alberta",-114.0718831,51.0447331
"Capitale-Nationale, Quebec","Capitale-Nationale, Quebec","Capitale-Nationale","Quebec","Capitale-Nationale, Quebec",-71.2195534,46.8077308
"Central, Alberta","Central, Alberta","Central","Alberta","Central, Alberta",-116.5765035,53.9332706
"Central, Newfoundland & Labrador","Central, Newfoundland & Labrador","Central","Newfoundland & Labrador","Central, Newfoundland & Labrador",-57.6604364,53.1355091
"Central, Saskatchewan","Central, Saskatchewan","Central","Saskatchewan","Central, Saskatchewan",-106.4508639,52.9399159
"Chatham-Kent, Ontario","Chatham-Kent, Ontario","Chatham-Kent","Ontario","Chatham-Kent, Ontario",-82.1910378,42.4048028
"Chaudière-Appalaches, Quebec","Chaudière-Appalaches, Quebec","Chaudière-Appalaches","Quebec","Chaudière-Appalaches, Quebec",-71.2366687,46.8032642
"Côte-Nord, Quebec","Côte-Nord, Quebec","Côte-Nord","Quebec","Côte-Nord, Quebec",-66.1497027,50.8967416
"Durham, Ontario","Durham, Ontario","Durham","Ontario","Durham, Ontario",-80.8185006,44.1763254
"Eastern, Newfoundland & Labrador","Eastern, Newfoundland & Labrador","Eastern","Newfoundland & Labrador","Eastern, Newfoundland & Labrador",-53.2415879,47.7289436
