date_recovered,province,cumulative_recovered
22-01-2021,Alberta,108258.0
21-01-2021,Alberta,107358.0
20-01-2021,Alberta,106387.0
19-01-2021,Alberta,105208.0
18-01-2021,Alberta,103941.0
17-01-2021,Alberta,103167.0
16-01-2021,Alberta,101957.0
15-01-2021,Alberta,101779.0
14-01-2021,Alberta,100762.0
13-01-2021,Alberta,99412.0
12-01-2021,Alberta,98178.0
11-01-2021,Alberta,96867.0
10-01-2021,Alberta,96052.0
09-01-2021,Alberta,94932.0
08-01-2021,Alberta,94783.0
07-01-2021,Alberta,93954.0
06-01-2021,Alberta,92858.0
05-01-2021,Alberta,91799.0
04-01-2021,Alberta,90554.0
03-01-2021,Alberta,84827.0
02-01-2021,Alberta,84827.0
01-01-2021,Alberta,84827.0
31-12-2020,Alberta,84827.0
30-12-2020,Alberta,84827.0
29-12-2020,Alberta,83328.0
28-12-2020,Alberta,81780.0
27-12-2020,Alberta,75070.0
26-12-2020,Alberta,75070.0
25-12-2020,Alberta,75070.0
24-12-2020,Alberta,75070.0
23-12-2020,Alberta,75070.0
22-12-2020,Alberta,73298.0
21-12-2020,Alberta,71434.0
20-12-2020,Alberta,70167.0
19-12-2020,Alberta,68832.0
18-12-2020,Alberta,67159.0
17-12-2020,Alberta,65513.0
16-12-2020,Alberta,63668.0
15-12-2020,Alberta,61934.0
14-12-2020,Alberta,60130.0
13-12-2020,Alberta,58818.0
12-12-2020,Alberta,57613.0
11-12-2020,Alberta,55947.0
10-12-2020,Alberta,54225.0
09-12-2020,Alberta,52636.0
08-12-2020,Alberta,51000.0
07-12-2020,Alberta,49603.0
06-12-2020,Alberta,48467.0
05-12-2020,Alberta,47328.0
04-12-2020,Alberta,46018.0
03-12-2020,Alberta,44705.0
02-12-2020,Alberta,43464.0
01-12-2020,Alberta,42305.0
30-11-2020,Alberta,41182.0
29-11-2020,Alberta,40219.0
28-11-2020,Alberta,39381.0
27-11-2020,Alberta,38369.0
26-11-2020,Alberta,37316.0
25-11-2020,Alberta,36582.0
24-11-2020,Alberta,35695.0
23-11-2020,Alberta,34779.0
22-11-2020,Alberta,34206.0
21-11-2020,Alberta,33543.0
20-11-2020,Alberta,32835.0
19-11-2020,Alberta,31964.0
18-11-2020,Alberta,31192.0
17-11-2020,Alberta,30462.0
16-11-2020,Alberta,29731.0
15-11-2020,Alberta,28321.0
14-11-2020,Alberta,28321.0
13-11-2020,Alberta,28321.0
12-11-2020,Alberta,27707.0
11-11-2020,Alberta,26407.0
10-11-2020,Alberta,26407.0
09-11-2020,Alberta,25826.0
08-11-2020,Alberta,24684.0
07-11-2020,Alberta,24684.0
06-11-2020,Alberta,24684.0
05-11-2020,Alberta,23874.0
04-11-2020,Alberta,23874.0
03-11-2020,Alberta,23484.0
02-11-2020,Alberta,22169.0
01-11-2020,Alberta,22169.0
31-10-2020,Alberta,22169.0
30-10-2020,Alberta,22169.0
29-10-2020,Alberta,21803.0
28-10-2020,Alberta,21459.0
27-10-2020,Alberta,21108.0
26-10-2020,Alberta,20949.0
25-10-2020,Alberta,20310.0
24-10-2020,Alberta,20310.0
23-10-2020,Alberta,20310.0
