date_vaccine_completed,province,cumulative_cvaccine
24-01-2021,Alberta,7272.0
23-01-2021,Alberta,7272.0
22-01-2021,Alberta,7272.0
21-01-2021,Alberta,7003.0
20-01-2021,Alberta,
19-01-2021,Alberta,
18-01-2021,Alberta,
17-01-2021,Alberta,
16-01-2021,Alberta,
15-01-2021,Alberta,
14-01-2021,Alberta,
13-01-2021,Alberta,
12-01-2021,Alberta,
24-01-2021,BC,2202.0
23-01-2021,BC,2202.0
22-01-2021,BC,2202.0
21-01-2021,BC,1663.0
20-01-2021,BC,
19-01-2021,BC,
18-01-2021,BC,
17-01-2021,BC,
16-01-2021,BC,
15-01-2021,BC,
14-01-2021,BC,
13-01-2021,BC,
12-01-2021,BC,
24-01-2021,Manitoba,3396.0
23-01-2021,Manitoba,3394.0
22-01-2021,Manitoba,3390.0
21-01-2021,Manitoba,3038.0
20-01-2021,Manitoba,2594.0
19-01-2021,Manitoba,2144.0
18-01-2021,Manitoba,2144.0
17-01-2021,Manitoba,2138.0
16-01-2021,Manitoba,2138.0
15-01-2021,Manitoba,2138.0
14-01-2021,Manitoba,1660.0
13-01-2021,Manitoba,1660.0
12-01-2021,Manitoba,
24-01-2021,New Brunswick,2567.0
23-01-2021,New Brunswick,2567.0
22-01-2021,New Brunswick,2567.0
21-01-2021,New Brunswick,2567.0
20-01-2021,New Brunswick,2567.0
19-01-2021,New Brunswick,2567.0
18-01-2021,New Brunswick,2567.0
17-01-2021,New Brunswick,1862.0
16-01-2021,New Brunswick,1862.0
15-01-2021,New Brunswick,1862.0
14-01-2021,New Brunswick,1862.0
13-01-2021,New Brunswick,1862.0
12-01-2021,New Brunswick,1862.0
24-01-2021,NL,1737.0
23-01-2021,NL,1737.0
22-01-2021,NL,1737.0
21-01-2021,NL,1737.0
20-01-2021,NL,1737.0
19-01-2021,NL,1495.0
18-01-2021,NL,1495.0
17-01-2021,NL,1495.0
16-01-2021,NL,1495.0
15-01-2021,NL,1495.0
14-01-2021,NL,1495.0
13-01-2021,NL,1495.0
12-01-2021,NL,
24-01-2021,Nova Scotia,2705.0
23-01-2021,Nova Scotia,2705.0
22-01-2021,Nova Scotia,2705.0
21-01-2021,Nova Scotia,2696.0
20-01-2021,Nova Scotia,2507.0
19-01-2021,Nova Scotia,2215.0
18-01-2021,Nova Scotia,2200.0
17-01-2021,Nova Scotia,2200.0
16-01-2021,Nova Scotia,2200.0
15-01-2021,Nova Scotia,2200.0
14-01-2021,Nova Scotia,1076.0
13-01-2021,Nova Scotia,1076.0
12-01-2021,Nova Scotia,1076.0
24-01-2021,Ontario,62881.0
23-01-2021,Ontario,57907.0
22-01-2021,Ontario,49292.0
21-01-2021,Ontario,40225.0
20-01-2021,Ontario,32361.0
19-01-2021,Ontario,25609.0
18-01-2021,Ontario,21752.0
17-01-2021,Ontario,21714.0
16-01-2021,Ontario,19333.0
15-01-2021,Ontario,17094.0
14-01-2021,Ontario,13293.0
13-01-2021,Ontario,8778.0
12-01-2021,Ontario,6064.0
24-01-2021,PEI,1799.0
23-01-2021,PEI,1799.0
22-01-2021,PEI,1799.0
21-01-2021,PEI,1799.0
20-01-2021,PEI,1407.0
19-01-2021,PEI,1407.0
18-01-2021,PEI,1154.0
17-01-2021,PEI,1154.0
16-01-2021,PEI,1154.0
15-01-2021,PEI,1154.0
14-01-2021,PEI,1154.0
13-01-2021,PEI,1154.0
12-01-2021,PEI,1154.0
24-01-2021,Quebec,
23-01-2021,Quebec,
22-01-2021,Quebec,
21-01-2021,Quebec,
20-01-2021,Quebec,
19-01-2021,Quebec,
18-01-2021,Quebec,
17-01-2021,Quebec,
16-01-2021,Quebec,
15-01-2021,Quebec,
14-01-2021,Quebec,
13-01-2021,Quebec,
12-01-2021,Quebec,
24-01-2021,Saskatchewan,3564.0
23-01-2021,Saskatchewan,3416.0
22-01-2021,Saskatchewan,3415.0
21-01-2021,Saskatchewan,3054.0
20-01-2021,Saskatchewan,2592.0
19-01-2021,Saskatchewan,2180.0
18-01-2021,Saskatchewan,1752.0
17-01-2021,Saskatchewan,1752.0
16-01-2021,Saskatchewan,1752.0
15-01-2021,Saskatchewan,1752.0
14-01-2021,Saskatchewan,1752.0
13-01-2021,Saskatchewan,1449.0
12-01-2021,Saskatchewan,1449.0
24-01-2021,NWT,
23-01-2021,NWT,
22-01-2021,NWT,
21-01-2021,NWT,
20-01-2021,NWT,
19-01-2021,NWT,
18-01-2021,NWT,
17-01-2021,NWT,
16-01-2021,NWT,
15-01-2021,NWT,
14-01-2021,NWT,
13-01-2021,NWT,
12-01-2021,NWT,
24-01-2021,Nunavut,
23-01-2021,Nunavut,
22-01-2021,Nunavut,
21-01-2021,Nunavut,
20-01-2021,Nunavut,
19-01-2021,Nunavut,
18-01-2021,Nunavut,
17-01-2021,Nunavut,
16-01-2021,Nunavut,
15-01-2021,Nunavut,
14-01-2021,Nunavut,
13-01-2021,Nunavut,
12-01-2021,Nunavut,
24-01-2021,Yukon,
23-01-2021,Yukon,
22-01-2021,Yukon,
21-01-2021,Yukon,
20-01-2021,Yukon,
19-01-2021,Yukon,
18-01-2021,Yukon,
17-01-2021,Yukon,
16-01-2021,Yukon,
15-01-2021,Yukon,
14-01-2021,Yukon,
13-01-2021,Yukon,
12-01-2021,Yukon,
